no,group,key,ja,en,zh
102038,Notes,charge.php,課金ポイントの購入履歴を集計したものなどを表示します,課金ポイントの購入履歴を集計したものなどを表示します,課金ポイントの購入履歴を集計したものなどを表示します
102039,MenuString,users.php,ユーザ管理,ユーザ管理,ユーザ管理
102040,Notes,users.php,管理画面におけるユーザの追加・編集・削除を行なえます,管理画面におけるユーザの追加・編集・削除を行なえます,管理画面におけるユーザの追加・編集・削除を行なえます
102041,MenuString,access_log.php,アクセスログ,アクセスログ,アクセスログ
102042,Notes,access_log.php,各管理画面の使用履歴を検索できます,各管理画面の使用履歴を検索できます,各管理画面の使用履歴を検索できます
102043,MenuString,event_duration_stat.php,イベント参加,,イベント参加
102044,Notes,event_duration_stat.php,イベントの参加率、継続率の表示,,イベントの参加率、継続率の表示
102045,MenuString,event_steps.php,イベント進捗,,イベント進捗
102046,Notes,event_steps.php,イベントの進捗状況の通過・滞在の表示,,イベントの進捗状況の通過・滞在の表示
103001,CodeMaster,mainte_flag_list.0,メンテ中,under maintenance,メンテ中
103002,,mainte_flag_list.1,サービス中,under service,サービス中
103003,,l_gacha.is_free.0,有料,pay,有料
103004,,l_gacha.is_free.1,無料,free,無料
103005,,l_gacha.is_comp.0,なにもなし,there is nothing,なにもなし
103006,,l_gacha.is_comp.1,コンプリートした,completed,コンプリートした
103007,,l_item_move.type.0,変動なし,no change,変動なし
103008,,l_item_move.type.1,アイテムの追加,item add,アイテムの追加
103009,,l_item_move.type.2,アイテムの移動,item transfer,アイテムの移動
103010,,l_item_move.type.3,アイテムの消失,item lost,アイテムの消失
103011,,l_realmoney.trade_tpe.1,購入,購入,購入
103012,,l_realmoney.trade_tpe.2,使用,使用,使用
103013,,l_realmoney.trade_tpe.3,期限切れ,期限切れ,期限切れ
104001,TableMaster,l_chat_log_id,履歴ID,history ID,履歴ID
104002,,log_date,ログ発生日時,log occurred date,ログ発生日時
104003,,uid,プラットフォーム側ユーザID,platform side user ID,プラットフォーム側ユーザID
104004,,user_id,ユーザID,user ID,ユーザID
104005,,chara_id,キャラクタID,character ID,キャラクタID
104006,,message,発言内容,message content,発言内容
104007,,server_id,サーバ,server,サーバ
104008,,area_id,エリア,area,エリア
104009,,x,x,x,x
104010,,y,y,y,y
104011,,z,z,z,z
104012,,chat_type,チャット種別,chat type,チャット種別
104013,,chat_target,チャット送信先,chat destination,チャット送信先
104014,,l_kakin_id,履歴番号,history number,履歴番号
104015,,item_id,アイテムID,item ID,アイテムID
104016,,item_num,アイテム数,number of items,アイテム数
104017,,subtotal,決済額,settlement figure,決済額
104018,,payment_id,決済ID,settlement ID,決済ID
104019,,l_shop_id,履歴番号,history number,履歴番号
104020,,gacha_type,ガチャ種別,capsule toy type,ガチャ種別
104021,,gacha_id,ガチャID,capsule toy ID,ガチャID
104022,,drop_id,ガチャ出力品ID,capsule toy output item ID,ガチャ出力品ID
104023,,shop_point,消費課金ポイント,consumption charge point,消費課金ポイント
104024,,ingame_point,消費ゲーム内通貨,consumption game currency,消費ゲーム内通貨
104025,,ticket_id,チケットID,ticket ID,チケットID
104026,,ticket_num,チケット枚数,number of tickets,チケット枚数
104027,,is_free,無料フラグ,free flag,無料フラグ
104028,,is_comp,コンプリートフラグ,complete flag,コンプリートフラグ
104029,,l_item_move_id,履歴ID,history ID,履歴ID
104030,,type,種別,type,種別
104031,,item_serial,アイテムシリアル,item serial,アイテムシリアル
104032,,action_type,行動種別,action type,行動種別
104033,,trade_price,取引額,trade amount,取引額
104034,,target_user_id,相手ユーザID,opponent user ID,相手ユーザID
104035,,target_chara_id,相手キャラクタID,opponent character ID,相手キャラクタID
104036,,l_realmoney_id,履歴番号,ID,履歴番号
104037,,trade_val,取引額,value,取引額
104038,,trade_type,取引種別,trade type,取引種別
104039,,l_gacha_id,履歴番号,ID,履歴番号
104040,,pftype,プラットフォーム区分,プラットフォーム区分,プラットフォーム区分
104041,,l_add_item_id,履歴番号,履歴番号,履歴番号
104042,,operator,操作者,操作者,操作者
104043,,result_code,結果コード,結果コード,結果コード
104044,,additemext,追加パラメータ,追加パラメータ,追加パラメータ
104045,,note,備考,備考,備考
105001,statunit,year,年,年,年
105002,,month,月,月,月
105003,,week,週,週,週
105004,,day,日,日,日
105005,,hour,時,時,時
201000,es2,lang,ja,en,ja
201001,,system_name,ES2.3,ES2.3,ES2.3
201002,,i001,でログイン中,logging in,でログイン中
201003,,i002,パスワード変更,password change,パスワード変更
201004,,i003,ログアウト,log out,ログアウト
201005,,i004,指定されたプラグインの処理に失敗しました。,Failed to process assigned plugin.,指定されたプラグインの処理に失敗しました。
201006,,b001,検索,search,検索
201007,,b002,リセット,reset,リセット
201008,,b003,CSV出力,CSV output,CSV出力
201009,,l001,検索,search,検索
201010,,l002,履歴,history,履歴
201011,,l003,ランキング,ranking,ランキング
201012,,l004,時間集計,time add up,時間集計
201013,,l005,時間集計単位,time add up unit,時間集計単位
201014,,l006,検索結果,search result,検索結果
201015,,g001,読み込み中..,now importing...,読み込み中..
201016,,g002,{total} 件中 {from} - {to},{total} to {from} - {to},{total} 件中 {from} - {to}
201017,,dnf,データが見つかりませんでした,データが見つかりませんでした,データが見つかりませんでした
201018,,rnf,レコードが見つかりませんでした,レコードが見つかりませんでした,レコードが見つかりませんでした
201019,,lnf,ログが見つかりませんでした,ログが見つかりませんでした,ログが見つかりませんでした
202001,users.php,es001,(エラー) {$user} は既に使われています。,(error) {$user} is been used already.,(エラー) {$user} は既に使われています。
202002,,es002,(エラー) ユーザ名は４文字以上必要です。,(error) User name must to be in 4 or more characters.,(エラー) ユーザ名は４文字以上必要です。
202003,,es003,(エラー) ユーザ名は半角英数字および - (ハイフン) または _ (アンダースコア) のみ許可されています。,"(error) User name only allows single-byte Roman characters and alpha numerals, - (hyphen), or _ (underscore).",(エラー) ユーザ名は半角英数字および - (ハイフン) または _ (アンダースコア) のみ許可されています。
202004,,es004,(エラー) パスワードは８文字以上必要です。,(error) Password must be in 8 or more characters.,(エラー) パスワードは８文字以上必要です。
202005,,es005,(エラー) そのパスワードは禁止されています。,(error) This password is forbidden.,(エラー) そのパスワードは禁止されています。
202006,,es101,を登録しました。,is registered.,を登録しました。
202007,,cd001,のパスワードは更新されませんでした。,password was not updated.,のパスワードは更新されませんでした。
202008,,cd002,のパスワードを再設定しました,password has been reset,のパスワードを再設定しました
202009,,cd003,のグループを再設定しました,group has been reset,のグループを再設定しました
202010,,ur001,を削除しました。,deleted.,を削除しました。
202011,,f1001,ユーザを登録します、よろしいですか？,"Register user, do you confirm?",ユーザを登録します、よろしいですか？
202012,,f1002,新規登録,new registration,新規登録
202013,,f1003,ユーザ名,user name,ユーザ名
202014,,f1004,パスワード,password,パスワード
202015,,f1005,グループ,group,グループ
202016,,f1006,を操作可能,is controllable,を操作可能
202017,,f1007,未使用,not used,未使用
202018,,f1008,登録する,register,登録する
202019,,f1009,パスワードジェネレータ,password generator,パスワードジェネレータ
202020,,f1010,ランダム生成,random generate,ランダム生成
202021,,f2001,ユーザ情報を更新します、よろしいですか？,"Update user information, do you confirm?",ユーザ情報を更新します、よろしいですか？
202022,,f2002,指定したユーザを削除します、よろしいですか？,"Delete selected user, do you confirm?",指定したユーザを削除します、よろしいですか？
202023,,f2003,ユーザ一覧,user list,ユーザ一覧
202024,,f2004,ユーザ名,user name,ユーザ名
202025,,f2005,パスワード,password,パスワード
202026,,f2006,削除,delete,削除
202027,,f2007,更新,update,更新
202028,,f2008,削除,delete,削除
211001,chat.php,g001,チャットログ,chat log,チャットログ
211002,,g002,チャットログが見つかりませんでした。,No chat log founded.,チャットログが見つかりませんでした。
212001,chat_real.php,l001,最大表示件数,maximum number of displays,最大表示件数
212002,,l002,履歴ID,history ID,履歴ID
212003,,l003,日時,date and time,日時
212004,,l004,キャラクタID,character ID,キャラクタID
212005,,l005,発言内容,message content,発言内容
213001,gacha.php,gh01,ガチャ履歴,capsule toy history,ガチャ履歴
213002,,gh02,ガチャ履歴がありませんでした。,There was no capsule toy history.,ガチャ履歴がありませんでした。
213003,,gr01,ランキング,ranking,ランキング
213004,,gr02,ランキングが取得できませんでした。,Unable to gain ranking.,ランキングが取得できませんでした。
213005,,gr03,ガチャ種別,capsule toy type,ガチャ種別
213006,,gr04,ガチャID,capsule toy ID,ガチャID
213007,,gr05,回転数,number of spins,回転数
213008,,gs01,時間集計,time add up,時間集計
213009,,gs02,時間集計が取得できませんでした。,Unable to gain time add up.,時間集計が取得できませんでした。
213010,,gs03,集計日時,date and time add up,集計日時
213011,,gs04,回転数,number of spins,回転数
213012,,gs05,グラフ,graph,グラフ
214001,kakin.php,kh01,課金履歴,charge history,課金履歴
214002,,kh02,課金履歴がありませんでした。,There was no charge history.,課金履歴がありませんでした。
214003,,kr01,ランキング,ranking,ランキング
214004,,kr02,ランキングが取得できませんでした。,Unable to gain ranking.,ランキングが取得できませんでした。
214005,,kr03,,,
214006,,kr04,件数,number of cases,件数
214007,,kr05,合計,total,合計
214008,,ks01,時間集計,time add up,時間集計
214009,,ks02,時間集計が取得できませんでした。,Unable to gain time add up,時間集計が取得できませんでした。
214010,,ks03,集計日時,date and time add up,集計日時
214011,,ks04,販売件数,number of sales,販売件数
214012,,ks05,販売額,sale price,販売額
214013,,f2001,指定条件での購入ユーザ数,number of purchased users in specific condition,指定条件での購入ユーザ数
214014,,f2002,指定条件での総販売件数,number of total sales in specific condition,指定条件での総販売件数
214015,,f2003,指定条件での総販売額,amount of sales in specific condition,指定条件での総販売額
214016,,f2004,平均単価,average unit price,平均単価
215001,log_search.php,f0001,対象ログ選択,target log select,対象ログ選択
215002,,f0002,選択,select,選択
215003,,f1001,ログディレクトリ,log directory,ログディレクトリ
215004,,f1002,ログ抽出日,log extract date,ログ抽出日
215005,,f1ld1,(web) 当日分ログから検索,(web)search from daily log,(web) 当日分ログから検索
215006,,f1ld2,(web) 退避済みログから検索,(web)search from evacuated log,(web) 退避済みログから検索
215007,,f1ld3,(game) 当日分ログから検索,(game)search from daily log,(game) 当日分ログから検索
215008,,f1ld4,(game) 退避済みログから検索,(game)search from evacuated log,(game) 退避済みログから検索
215009,,lh01,ログ,log,ログ
215010,,lh02,ログがありませんでした。,There was no log.,ログがありませんでした。
216001,log_search_db.php,f0001,対象ログ選択,target log select,対象ログ選択
216002,,f0002,選択,select,選択
216003,,lh01,ログ,log,ログ
216004,,lh02,ログがありませんでした。,There was no log.,ログがありませんでした。
217001,regists.php,f1001,期間,term,期間
217002,,f2001,日付,date,日付
217003,,f2002,登録数,number of registers,登録数
217004,,f2003,解約数,number of withdrawals,解約数
217005,,f2004,有効会員数,number of valid members,有効会員数
217006,,f2005,ユニークログイン数,number of unique login users,ユニークログイン数
218001,report_day.php,f1001,期間,term,期間
218002,,f2001,日時,date and time,日時
218003,,f2002,登録数,number of registers,登録数
218004,,f2003,解約数,number of withdrawals,解約数
218005,,f2004,ログイン数,number of logins,ログイン数
218006,,f2005,課金者数,number of charged users,課金者数
218007,,f2006,売上,sales,売上
218008,,f2007,両替ユーザ数,両替ユーザ数,両替ユーザ数
218009,,f2008,合計両替額,合計両替額,合計両替額
218020,,f2009,ゲーム内通貨総量,ゲーム内通貨総量,ゲーム内通貨総量
218021,,f2010,課金通貨総量,課金通貨総量,課金通貨総量
218022,,f2011,アクティブユーザ数,アクティブユーザ数,アクティブユーザ数
218023,,f2012,ゲーム内通貨総量 (アクティブユーザのみ),ゲーム内通貨総量 (アクティブユーザのみ),ゲーム内通貨総量 (アクティブユーザのみ)
218024,,f2013,課金内通貨総量 (アクティブユーザのみ),課金内通貨総量 (アクティブユーザのみ),課金内通貨総量 (アクティブユーザのみ)
218025,,f2014,無料付与通貨,無料付与通貨,無料付与通貨
218026,,f2015,無料付与通貨消費,無料付与通貨消費,無料付与通貨消費
218010,,login_user_count,ユニークログイン数,ユニークログイン数,ユニークログイン数
218011,,buy_user_count,課金アイテム購入者数,課金アイテム購入者数,課金アイテム購入者数
218012,,buy_user_rate,課金アイテム購入率,課金アイテム購入率,課金アイテム購入率
218013,,sell_count,課金アイテム販売件数,課金アイテム販売件数,課金アイテム販売件数
218014,,sell,課金アイテム販売額,課金アイテム販売額,課金アイテム販売額
218015,,charge_user_count,課金通貨購入者率,課金通貨購入者率,課金通貨購入者率
218016,,charge_user_rate,課金通貨購入率,課金通貨購入率,課金通貨購入率
218017,,charge_count,課金通貨購入件数,課金通貨購入件数,課金通貨購入件数
218018,,charge_total,課金通貨販売額,課金通貨販売額,課金通貨販売額
218019,,l002,期間集計,期間集計,期間集計
218020,,l003,キャッシュを使わない,キャッシュを使わない,キャッシュを使わない
218021,,l004,初回,初回,初回
218022,,gl01,基本情報,基本情報,基本情報
218023,,gl02,両替ユーザ数,両替ユーザ数,両替ユーザ数
218024,,gl03,課金ユーザ数,課金ユーザ数,課金ユーザ数
219001,report_mon.php,f1001,期間,term,期間
219002,,f2001,月初時点での有効会員数,number of valid members in beginning of the month,月初時点での有効会員数
219003,,f2002,当月登録者数,number of registered members in current month,当月登録者数
219004,,f2003,当月退会者数,number of withdrawals in current month,当月退会者数
219005,,f2004,月末時点での有効会員数,number of valid members in end of the month,月末時点での有効会員数
219006,,f2005,ログインユーザ数,number of login users,ログインユーザ数
219007,,f2006,課金アイテム購入者数,number of charge item purchasers,課金アイテム購入者数
219008,,f2007,課金アイテム購入率,charge item purchase ratio,課金アイテム購入率
219009,,f2008,課金アイテム販売件数,number of charge item sales,課金アイテム販売件数
219010,,f2009,課金アイテム販売合計額,total charge item sales price,課金アイテム販売合計額
219011,,f2010,課金アイテム顧客単価 (全ユーザ),顧客単価 (全ユーザ),課金アイテム顧客単価 (全ユーザ)
219012,,f2011,課金アイテム顧客単価 (ログインユーザ),顧客単価 (ログインユーザ),課金アイテム顧客単価 (ログインユーザ)
219013,,f2012,課金アイテム顧客単価 (課金ユーザ),顧客単価 (課金ユーザ),課金アイテム顧客単価 (課金ユーザ)
219014,,f2013,課金通貨購入者数,課金通貨購入者数,課金通貨購入者数
219015,,f2014,課金通貨購入率,課金通貨購入率,課金通貨購入率
219016,,f2015,課金通貨販売件数,課金通貨販売件数,課金通貨販売件数
219017,,f2016,課金通貨販売合計額,課金通貨販売合計額,課金通貨販売合計額
219018,,f2017,顧客単価 (全ユーザ),課金通貨顧客単価 (全ユーザ),顧客単価 (全ユーザ)
219019,,f2018,顧客単価 (ログインユーザ),課金通貨顧客単価 (ログインユーザ),顧客単価 (ログインユーザ)
219020,,f2019,顧客単価 (課金ユーザ),課金通貨顧客単価 (課金ユーザ),顧客単価 (課金ユーザ)
219021,,f2020,無料付与通貨付与合計額,無料付与通貨付与合計額,無料付与通貨付与合計額
219022,,f2021,課金通貨消費合計額,課金通貨消費合計額,課金通貨消費合計額
219023,,f2022,無料付与通貨消費合計額,無料付与通貨消費合計額,無料付与通貨消費合計額
219024,,f2023,無料付与通貨付与ユーザ数,無料付与通貨付与ユーザ数,無料付与通貨付与ユーザ数
219025,,l0001,表示項目,表示項目,表示項目
219026,,l0002,全て非表示,全て非表示,全て非表示
219027,,l0003,ユーザ数,ユーザ数,ユーザ数
219028,,l0004,売上集計,売上集計,売上集計
219028,,l0004,顧客単価,顧客単価,顧客単価
220001,shop.php,sh01,ゲーム内ショップ履歴,game shop history,ゲーム内ショップ履歴
220002,,sh02,ゲーム内ショップ履歴がありませんでした。,There was no game shop history.,ゲーム内ショップ履歴がありませんでした。
220003,,sr01,ランキング,ranking,ランキング
220004,,sr02,ランキングが取得できませんでした。,Unable to gain ranking.,ランキングが取得できませんでした。
220005,,sr03,,,
220006,,sr04,件数,number of cases,件数
220007,,sr05,合計,total,合計
220008,,ss01,時間集計,time add up,時間集計
220009,,ss02,時間集計が取得できませんでした。,Unable to gain time add up.,時間集計が取得できませんでした。
220010,,ss03,集計日時,add up date and time,集計日時
220011,,ss04,販売件数,number of sales,販売件数
220012,,ss05,販売額,sale price,販売額
220013,,f2001,指定条件での購入ユーザ数,number of purchased users in specific condition,指定条件での購入ユーザ数
220014,,f2002,指定条件での総販売件数,number of total sales in specific condition,指定条件での総販売件数
220015,,f2003,指定条件での総販売額,amount of sales in specific condition,指定条件での総販売額
220016,,f2004,平均単価,average unit price,平均単価
221001,steps.php,f101,最終更新日,last updated date,最終更新日
221002,,f201,集計結果,add up result,集計結果
221003,,f202,進捗,progress,進捗
221004,,f203,滞在数,number of stays,滞在数
221005,,f204,通過数,number of passages,通過数
221006,,f205,グラフ,graph,グラフ
221007,,f206,開始数,開始数,開始数
221008,,f207,終了数,終了数,終了数
221009,,f208,キャンセル数,キャンセル数,キャンセル数
222001,user_duration.php,f101,検索条件,search condition,検索条件
222002,,f102,項目,heading,項目
222003,,f103,集計対象,add up target,集計対象
222004,,f104,検索条件,search condition,検索条件
222005,,f105,会員登録日,membership registration date,会員登録日
222006,,f106,最終ログイン日,last login date,最終ログイン日
222007,,f107,退会日,withdrawal date,退会日
222008,,f108,プレイ日数,number of playing days,プレイ日数
222009,,f109,※最終ログイン日 と 会員登録日 の差分,*differential between last login date and membership registration date,※最終ログイン日 と 会員登録日 の差分
222010,,f201,検索結果,search result,検索結果
222011,,f202,日付,date,日付
222012,,f203,ユーザ数,number of users,ユーザ数
222013,,f204,割合,proportion,割合
222014,,f205,グラフ,graph,グラフ
222015,,f206,データがありません,there is no data,データがありません
224001,user_duration_stat.php,f101,集計期間,集計期間,集計期間
224002,,f201,継続日数集計,継続日数集計,継続日数集計
224003,,f202,会員登録日,会員登録日,会員登録日
224004,,f203,会員登録数,会員登録数,会員登録数
224005,,f204,初回起動日,初回起動日,初回起動日
224006,,f205,初回起動者数,初回起動者数,初回起動者数
224007,,f206,導入未到達,導入未到達,導入未到達
224008,,f207,未ログイン,未ログイン,未ログイン
225001,realmoney.php,gh01,販売履歴,販売履歴,販売履歴
225002,,gs01,販売集計,販売集計,販売集計
225003,,gs02,日時,日時,日時
225004,,gs03,購入,購入,購入
225005,,gs04,消費,消費,消費
225006,,gs05,期限切れ,期限切れ,期限切れ
225007,,gs06,消費量,消費量,消費量
225008,,gs07,購入量,購入量,購入量
226001,log_search_mdb.php,f0001,対象ログ選択,対象ログ選択,対象ログ選択
226002,,f0002,選択,選択,選択
226003,,lh01,ログ,ログ,ログ
226004,,lh02,ログがありませんでした。,ログがありませんでした。,ログがありませんでした。
227001,log_search_mdbk.php,f101,発生日時,発生日時,発生日時
227002,,f102,プラットフォームユーザID,プラットフォームユーザID,プラットフォームユーザID
227003,,f103,ユーザID,ユーザID,ユーザID
227004,,f104,キャラクターID,キャラクターID,キャラクターID
227005,,l201,ユーザ情報,ユーザ情報,ユーザ情報
227006,,u001,UID,UID,UID
227007,,u002,ユーザID,ユーザID,ユーザID
227008,,u003,会員登録日,会員登録日,会員登録日
227009,,u004,最終ログイン日,最終ログイン日,最終ログイン日
227010,,u005,累計課金ポイント購入額,累計課金ポイント購入額,累計課金ポイント購入額
227011,,u006,累計課金ポイント消費額,累計課金ポイント消費額,累計課金ポイント消費額
227012,,u007,累計課金ポイント消失額,累計課金ポイント消失額,累計課金ポイント消失額
228001,access_log.php,l001,検索条件,検索条件,検索条件
228002,,l002,履歴一覧,履歴一覧,履歴一覧
228003,,l101,種別,種別,種別
228004,,l102,ユーザ,ユーザ,ユーザ
228005,,l103,日付,日付,日付
228006,,s1011,アクセスログ,アクセスログ,アクセスログ
228007,,s1012,更新ログ,更新ログ,更新ログ
228008,,s1021,完全一致,完全一致,完全一致
228009,,s1022,前方一致,前方一致,前方一致
228010,,s1023,部分一致,部分一致,部分一致
228011,,h201,日時,日時,日時
228012,,h202,ユーザ,ユーザ,ユーザ
228013,,h203,アクセスしたページ,アクセスしたページ,アクセスしたページ
228014,,e201,ログファイルが見つかりませんでした,ログファイルが見つかりませんでした,ログファイルが見つかりませんでした
228015,,e202,日付の指定が正しくありません,日付の指定が正しくありません,日付の指定が正しくありません
228016,,e203,検索条件を見直してください,検索条件を見直してください,検索条件を見直してください
228017,,e204,履歴が見つかりませんでした,履歴が見つかりませんでした,履歴が見つかりませんでした
229001,event_duration_stat.php,f101,集計対象イベント,集計対象イベント,集計対象イベント
229002,,f201,継続日数集計,継続日数集計,継続日数集計
229003,,f202,会員登録日,会員登録日,会員登録日
229004,,f203,ログイン者数,ログイン者数,ログイン者数
229004,,f204,参加数 / 率,参加数 / 率,参加数 / 率
229004,,f205,新規参加者数,新規参加者数,新規参加者数
230001,event_steps.php,f101,最終更新日,最終更新日,最終更新日
230002,,f201,集計結果,集計結果,集計結果
230003,,f202,進捗,進捗,進捗
230004,,f203,滞在数,滞在数,滞在数
230005,,f204,通過数,通過数,通過数
230006,,f205,グラフ,グラフ,グラフ
231001,add_item.php,l001,アイテム付与,アイテム付与,アイテム付与
231002,,l002,キャラクターID,キャラクターID,キャラクターID
231003,,l003,アイテムID,アイテムID,アイテムID
231004,,l004,アイテム個数,アイテム個数,アイテム個数
231005,,l005,備考,備考,備考
231101,,s001,アイテム付与に成功しました,アイテム付与に成功しました,アイテム付与に成功しました
231102,,s002,アイテム付与処理が失敗を返しました,アイテム付与処理が失敗を返しました,アイテム付与処理が失敗を返しました
231103,,s003,処理が失敗、もしくは想定外の結果を返しました,処理が失敗、もしくは想定外の結果を返しました,処理が失敗、もしくは想定外の結果を返しました
231104,,s004,指定したユーザにアイテムを付与します、よろしいですか。,指定したユーザにアイテムを付与します、よろしいですか。,指定したユーザにアイテムを付与します、よろしいですか。
231105,,s005,設定に不足がありアイテム付与は機能していません。,設定に不足がありアイテム付与は機能していません。,設定に不足がありアイテム付与は機能していません。
231201,,b001,送信,送信,送信
231301,,l101,アイテム付与履歴,アイテム付与履歴,アイテム付与履歴
231302,,l102,アイテム付与履歴が見つかりませんでした。,アイテム付与履歴が見つかりませんでした。,アイテム付与履歴が見つかりませんでした。
232001,charge.php,kh01,両替履歴,課金履歴,両替履歴
232002,,kh02,課金履歴がありませんでした。,課金履歴がありませんでした。,課金履歴がありませんでした。
232003,,gs01,時間集計,時間集計,時間集計
232004,,gs02,集計日時,集計日時,集計日時
232005,,gs03,購入総額,購入総額,購入総額
232006,,gs04,使用総額,使用総額,使用総額
232007,,gs05,消耗総額,消耗総額,消耗総額
232008,,gs06,加算額合計,加算額合計,加算額合計
232009,,gs07,減算額合計,減算額合計,減算額合計
232010,,,,,
232011,,,,,
232012,,,,,
232013,,f2001,指定条件での購入ユーザ数,指定条件での購入ユーザ数,指定条件での購入ユーザ数
232014,,f2002,指定条件での総販売件数,指定条件での総販売件数,指定条件での総販売件数
232015,,f2003,指定条件での総販売額,指定条件での総販売額,指定条件での総販売額
232016,,f2004,平均単価,平均単価,平均単価
232017,,goods_group,商品グループ,商品グループ,商品グループ
233001,log_search_dbk.php,f101,発生日時,発生日時,発生日時
233002,,f102,プラットフォームユーザID,プラットフォームユーザID,プラットフォームユーザID
233003,,f103,ユーザID,ユーザID,ユーザID
233004,,f104,キャラクターID,キャラクターID,キャラクターID
233005,,l201,ユーザ情報,ユーザ情報,ユーザ情報
233006,,u001,UID,UID,UID
233007,,u002,ユーザID,ユーザID,ユーザID
233008,,u003,会員登録日,会員登録日,会員登録日
233009,,u004,最終ログイン日,最終ログイン日,最終ログイン日
233010,,u005,累計課金ポイント購入額,累計課金ポイント購入額,累計課金ポイント購入額
233011,,u006,累計課金ポイント消費額,累計課金ポイント消費額,累計課金ポイント消費額
233012,,u007,累計課金ポイント消失額,累計課金ポイント消失額,累計課金ポイント消失額
234001,event.php,f101,最終更新日,最終更新日,最終更新日
234002,,f201,集計結果,集計結果,集計結果
234003,,f202,進捗,進捗,進捗
234004,,f203,滞在数,滞在数,滞在数
234005,,f204,通過数,通過数,通過数
234006,,f205,グラフ,グラフ,グラフ
234012,,f301,継続日数集計,継続日数集計,継続日数集計
